"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KPADIOAM_02520",275.954747288151,0.583118487211326,0.120868641080726,4.82439847091414,1.40426426526556e-06,2.29387250192322e-06
"KPADIOAM_01473",2587.65807973438,-0.294717270764142,0.0612772817416879,-4.80956828350369,1.51256620123139e-06,2.46937236395319e-06
"KPADIOAM_01407",276.702890905186,-0.590589978059037,0.123039297166512,-4.80001098559414,1.5865692717977e-06,2.58870840064308e-06
"KPADIOAM_00967",327.130040607361,-0.576172184267237,0.120322312437725,-4.78857306341619,1.67971408176839e-06,2.73912279201615e-06
"KPADIOAM_02469",541.64215215132,0.473182542077702,0.0988793868565163,4.78545182287929,1.70603106725307e-06,2.78045108907132e-06
"KPADIOAM_00902",243.840597155402,-0.599951353465783,0.12539225599099,-4.78459653448529,1.71331138940918e-06,2.79072442391222e-06
"KPADIOAM_02296",139.784044938848,-0.764637342257389,0.159829373539979,-4.78408521113376,1.71767808926958e-06,2.79624290657732e-06
"KPADIOAM_01362",1917.3178544637,0.299662367843145,0.0627186491809422,4.77788300220918,1.77150401443581e-06,2.88222492553707e-06
"KPADIOAM_02419",943.243974667229,0.397642885362113,0.0834846114484041,4.76306804886871,1.90671505633997e-06,3.10044673646175e-06
"KPADIOAM_01210",4235.60059041592,-0.264497542812751,0.0555477276891791,-4.76162669142408,1.92038678616554e-06,3.12090162006539e-06
"KPADIOAM_00738",859.832079625169,0.384043073272936,0.0807131201003426,4.75812448825535,1.9539998469366e-06,3.17372232103347e-06
"KPADIOAM_01955",329.821737322917,0.520261677982944,0.109464222538364,4.75280110632138,2.00617677060368e-06,3.25661763273564e-06
"KPADIOAM_00567",816.935056012096,-0.398996778410481,0.084084199886176,-4.74520515091538,2.08295119621102e-06,3.37932513774837e-06
"KPADIOAM_00097",43.9470748334467,-1.46006291421117,0.308257009220102,-4.73651164625637,2.17428251955935e-06,3.52549668466575e-06
"KPADIOAM_00995",112.36879691277,0.821581423807456,0.174287133321506,4.71395339489514,2.42956254845555e-06,3.93718672770136e-06
"KPADIOAM_02370",171.079026561729,0.715367530847522,0.152008866490933,4.70609081799972,2.52512061145789e-06,4.0897219880585e-06
"KPADIOAM_02244",54.259192123668,-1.20802608912117,0.256776617899036,-4.7045797978232,2.54389354397741e-06,4.11779255248921e-06
"KPADIOAM_02535",1046.30424879474,-0.409759810370605,0.0873819373657721,-4.68929646930797,2.74145957297233e-06,4.43507927518796e-06
"KPADIOAM_01212",1199.11540010119,-0.368462468867784,0.078902579619081,-4.66984058881997,3.01433553571473e-06,4.87377284976625e-06
"KPADIOAM_02403",1048.49024456568,0.355581209245553,0.076161975928931,4.66874979159359,3.03038170711741e-06,4.8969460052231e-06
"KPADIOAM_01254",19.3851599674386,2.05556247351162,0.444670929569935,4.62265989706066,3.78850581931538e-06,6.11857610276091e-06
"KPADIOAM_03155",85.1256984786502,-0.926457068879622,0.201427362936135,-4.59945985180458,4.23587815163794e-06,6.83723383007321e-06
"KPADIOAM_02592",11.8692523172035,-3.36044902862047,0.73202667814629,-4.59061005417197,4.41952347847207e-06,7.12963217278075e-06
"KPADIOAM_02203",3650.99087641503,-0.283741243960396,0.0618295110358697,-4.58909085979649,4.45180637931904e-06,7.17765847952285e-06
"KPADIOAM_02723",41160.7873658895,0.304813192443409,0.0666849102129419,4.57094703239553,4.85525003454646e-06,7.82371649672828e-06
"KPADIOAM_01694",27.685618892818,-1.80106427427455,0.394361768669886,-4.56703569504018,4.94669800522618e-06,7.9665818494539e-06
"KPADIOAM_00602",969.563551878937,-0.383798289359059,0.0840393493795131,-4.56688791849,4.95018519158096e-06,7.96770653089961e-06
"KPADIOAM_00697",15.0839599179778,2.44298656421143,0.535899923433738,4.55866190194276,5.14805702677885e-06,8.28153092652431e-06
